"","rownames.downRegulated_DEGs.","expres"
"RN7SL336P","RN7SL336P",6.15373981981982
"RNU6-1286P","RNU6-1286P",4.50738468468469
"FABP7","FABP7",5.51705243243243
"CAGE1","CAGE1",5.65147666666667
"RNU2-62P","RNU2-62P",4.60509063063063
"HLA-DPA2","HLA-DPA2",5.82783936936937
"RNU6-214P","RNU6-214P",4.77082990990991
"TRDN","TRDN",5.24932486486486
"RNU6-863P","RNU6-863P",4.97166567567568
"RNA5SP235","RNA5SP235",6.24210693693694
"RNU6-1328P","RNU6-1328P",5.75447405405405
"CPA4","CPA4",7.05272648648649
"EPHB6","EPHB6",8.46144513513513
"CNTNAP2","CNTNAP2",6.22291423423423
"SOSTDC1","SOSTDC1",5.33413036036036
"IL6-AS1","IL6-AS1",7.42689369369369
"KIAA0087","KIAA0087",6.35105495495495
"SNORA20B","SNORA20B",4.46302153153153
"PON1","PON1",6.4280109009009
"TMEM130","TMEM130",7.5788218018018
"RNU6-892P","RNU6-892P",4.93097108108108
"RNU6-988P","RNU6-988P",4.30052072072072
"FAM167A","FAM167A",5.71315846846847
"RNU6-295P","RNU6-295P",5.6178963963964
"PXDNL","PXDNL",6.12421828828829
"TSPYL5","TSPYL5",7.64372261261261
"SNX31","SNX31",6.72702315315315
"RNU4-83P","RNU4-83P",5.38652297297297
"ZNF34","ZNF34",6.67235153153153
"RNA5SP279","RNA5SP279",4.32949099099099
"IFNK","IFNK",5.62817693693694
"ANKRD18B","ANKRD18B",6.24844918918919
"IL11RA","IL11RA",6.9927790990991
"RN7SL181P","RN7SL181P",5.17572810810811
"GFI1B","GFI1B",8.36719126126126
"SIT1","SIT1",6.91340468468468
"TRPM6","TRPM6",6.12792666666667
"CXorf58","CXorf58",5.99966261261261
"CXXC1P1","CXXC1P1",5.16603459459459
"TGIF2LY","TGIF2LY",5.67845207207207
"NXT2","NXT2",8.41347783783784
"RPL7L1P11","RPL7L1P11",7.16651018018018
"RNU4-6P","RNU4-6P",5.11896441441441
"RN7SL15P","RN7SL15P",6.9790327027027
"RNU6-630P","RNU6-630P",4.83637927927928
"RNU6-504P","RNU6-504P",4.68218594594595
"OR5V1","OR5V1",5.21689207207207
"PCDHA2","PCDHA2",7.85674765765766
"RAB7B","RAB7B",7.25998657657658
