"","rownames.filtered.","expres"
"RNU6-314P","RNU6-314P",4.0674345045045
"MPRIP","MPRIP",4.39928972972973
"ALKBH5","ALKBH5",3.97151594594595
"TVP23B","TVP23B",4.7429090990991
"SNORD3B-1","SNORD3B-1",6.55944198198198
"GRAPL","GRAPL",6.80400459459459
"WSB1","WSB1",4.62135423423423
"TBC1D3P5","TBC1D3P5",6.18737423423423
"TAOK1","TAOK1",4.61033171171171
"SUZ12","SUZ12",3.9661927027027
"CCL7","CCL7",4.85847324324324
"AP2B1","AP2B1",5.05936144144144
"TMEM99","TMEM99",5.79535585585586
"EIF1","EIF1",5.42310198198198
"GAST","GAST",7.49071297297297
"GRN","GRN",5.70078342342342
"MYL4","MYL4",5.41675135135135
"NPEPPS","NPEPPS",5.71874792792793
"LUC7L3","LUC7L3",4.42855054054054
"VMP1","VMP1",6.14271711711712
"PRKAR1A","PRKAR1A",6.18290594594595
"SOX9","SOX9",3.91275027027027
"TTYH2","TTYH2",6.95405648648649
"TMEM94","TMEM94",3.13734459459459
"YWHAE","YWHAE",4.97238621621622
"ELAC2","ELAC2",3.43151432432432
"PMP22","PMP22",4.84391252252252
"FOXO3","FOXO3",5.36101576576577
"RNU6-258P","RNU6-258P",3.58898405405405
"FLOT2","FLOT2",3.60295720720721
"MYO1D","MYO1D",4.13721891891892
"FBXO47","FBXO47",5.00925747747748
"COL1A1","COL1A1",7.23348972972973
"MKS1","MKS1",6.67048900900901
"MED13","MED13",4.24402351351351
"PECAM1","PECAM1",4.97280675675676
"SLC39A11","SLC39A11",3.18465
"FAM104A","FAM104A",3.93160567567568
"RNU4-47P","RNU4-47P",5.41348099099099
"LINC01973","LINC01973",4.49344063063063
"RNU6-638P","RNU6-638P",4.45773126126126
"ACTG1","ACTG1",7.5511227027027
"FAAP100","FAAP100",7.81968558558559
"P4HB","P4HB",6.27703351351351
"WDR45B","WDR45B",4.58535666666667
"RNU2-1","RNU2-1",7.35849648648649
"ROCK1P1","ROCK1P1",6.56518189189189
"SMCHD1","SMCHD1",4.08312720720721
"PSMG2","PSMG2",3.91880567567568
"SEH1L","SEH1L",3.46000594594595
"MIB1","MIB1",3.70609594594595
"RN7SKP44","RN7SKP44",5.39677279279279
"PIK3C3","PIK3C3",3.8593409009009
"SNHG22","SNHG22",6.69696657657658
"MIR122HG","MIR122HG",3.99918351351351
"MALT1","MALT1",3.54145738738739
"LPIN2","LPIN2",4.0449172972973
"RNU6-916P","RNU6-916P",5.97572297297297
"PPP4R1","PPP4R1",4.62535117117117
"RNU6-903P","RNU6-903P",4.37499576576577
"RNU6-170P","RNU6-170P",4.47243081081081
"AFG3L2","AFG3L2",3.85324054054054
"ROCK1","ROCK1",3.68265423423423
"RNU6-120P","RNU6-120P",4.01372630630631
"TRAPPC8","TRAPPC8",3.60832396396396
"KLHL14","KLHL14",6.65652594594595
"RPL7A","RPL7A",5.87863243243243
"RNU6-1242P","RNU6-1242P",5.8181263963964
"RNU6-1278P","RNU6-1278P",5.27907657657658
"RNU1-46P","RNU1-46P",4.57710099099099
"MBD2","MBD2",4.33384873873874
"LMAN1","LMAN1",4.83394495495495
"CCBE1","CCBE1",5.96564117117117
"CYB5A","CYB5A",5.01936972972973
"ELOCP28","ELOCP28",4.66864837837838
"ANGPTL4","ANGPTL4",7.62458387387387
"OR2Z1","OR2Z1",5.88366342342342
"PRKCSH","PRKCSH",4.44737873873874
"CALR","CALR",6.42980828828829
"RPL23AP3","RPL23AP3",6.12241396396396
"CYP4F8","CYP4F8",6.45901747747748
"TPM4","TPM4",5.1193036036036
"GATAD2A","GATAD2A",3.4070881981982
"HAUS5","HAUS5",8.01380954954955
"PLD3","PLD3",4.00380414414414
"SNRNP70","SNRNP70",4.87427072072072
"RPL13AP7","RPL13AP7",7.4020409009009
"FCGRT","FCGRT",7.96426981981982
"PPP2R1A","PPP2R1A",4.02727036036036
"ZNF808","ZNF808",3.94578387387387
"MYADM","MYADM",3.82222648648649
"ZNF628","ZNF628",6.93384477477477
"EEF2","EEF2",6.84224918918919
"C3","C3",6.97364684684685
"ZNF823","ZNF823",7.43462990990991
"RN7SL70P","RN7SL70P",3.94690081081081
"SUGP2","SUGP2",3.7510136036036
"ZNF682","ZNF682",5.93835648648649
"LGALS4","LGALS4",4.20326171171171
"IFNL3","IFNL3",6.88813864864865
"EID2B","EID2B",6.33760252252252
"LMTK3","LMTK3",7.43479243243243
"ZNF836","ZNF836",4.13531567567568
"ASAP2","ASAP2",3.94396918918919
"RNU6-1081P","RNU6-1081P",4.5835918018018
"RNU2-13P","RNU2-13P",6.05612675675676
"LPIN1","LPIN1",9.13563684684685
"RNU5E-7P","RNU5E-7P",4.96817900900901
"RAB10","RAB10",3.86893387387387
"PPP1CB","PPP1CB",5.9002845045045
"SPDYA","SPDYA",5.59315153153153
"WDR43","WDR43",4.31004711711712
"RNA5SP92","RNA5SP92",4.65396144144144
"CRIM1","CRIM1",4.27977378378378
"TMEM178A","TMEM178A",3.94781252252252
"TMEM247","TMEM247",5.65703351351351
"ERLEC1","ERLEC1",4.22546468468468
"SPTBN1","SPTBN1",5.38178162162162
"RNU6-508P","RNU6-508P",5.59453351351351
"RNU4-51P","RNU4-51P",4.66578252252252
"PEX13","PEX13",3.73366135135135
"MEIS1","MEIS1",5.08032216216216
"ANTXR1","ANTXR1",4.52660333333333
"RNU6-1216P","RNU6-1216P",4.04296216216216
"ANXA4","ANXA4",5.07477522522522
"MRPL19","MRPL19",3.52052297297297
"CTNNA2","CTNNA2",6.83228414414414
"TMSB10","TMSB10",5.43191792792793
"MAT2A","MAT2A",5.70221045045045
"IGKV1-33","IGKV1-33",4.46990054054054
"POU3F3","POU3F3",3.51849945945946
"CCDC138","CCDC138",5.38029774774775
"ACTR3","ACTR3",4.9881836036036
"RNU2-41P","RNU2-41P",5.43246324324324
"DDX18","DDX18",3.94850585585586
"INSIG2","INSIG2",5.18910351351351
"RALB","RALB",3.82931216216216
"UGGT1","UGGT1",4.78255945945946
"MTND1P29","MTND1P29",3.9545445045045
"IMP4","IMP4",3.46471387387387
"POTEJ","POTEJ",4.77623009009009
"UBXN4","UBXN4",4.36159945945946
"ACVR2A","ACVR2A",3.74482342342342
"RNU6-1275P","RNU6-1275P",4.08793333333333
"MTND4P28","MTND4P28",5.83583720720721
"RN7SL423P","RN7SL423P",5.00391207207207
"CERS6","CERS6",4.65543135135135
"SSB","SSB",4.96004675675676
"ITGA6","ITGA6",5.76583837837838
"HNRNPA3P6","HNRNPA3P6",4.51185873873874
"RNU6-629P","RNU6-629P",4.21266477477478
"PPP1R1C","PPP1R1C",6.21389207207207
"DNAJC10","DNAJC10",4.44734063063063
"ZC3H15","ZC3H15",4.29020621621622
"COL3A1","COL3A1",7.32135036036036
"RNU6-959P","RNU6-959P",5.21569144144144
"MYO1B","MYO1B",4.47104513513514
"RNU6-169P","RNU6-169P",4.05145711711712
"SLC39A10","SLC39A10",3.56945099099099
"COQ10B","COQ10B",3.6425936036036
"RNU1-133P","RNU1-133P",4.51950765765766
"BZW1P2","BZW1P2",4.62184621621622
"NOP58","NOP58",4.78756117117117
"RN7SL753P","RN7SL753P",4.80336810810811
"BMPR2","BMPR2",4.48815864864865
"MTCO1P17","MTCO1P17",4.34021918918919
"EEF1B2","EEF1B2",4.09485648648649
"ATIC","ATIC",3.82002684684685
"XRCC5","XRCC5",6.13829405405405
"ARPC2","ARPC2",5.36373099099099
"SGPP2","SGPP2",3.50577297297297
"CAB39","CAB39",4.31006414414414
"RNU6-268P","RNU6-268P",4.7081127027027
"ITM2C","ITM2C",4.03789981981982
"RPS28P4","RPS28P4",6.65579495495496
"B3GNT7","B3GNT7",7.27056738738739
"KIDINS220","KIDINS220",4.8094272972973
"RNU4-73P","RNU4-73P",5.02347783783784
"ODC1","ODC1",4.7014454954955
"ROCK2","ROCK2",5.10736261261261
"NBAS","NBAS",3.65608351351351
"LAPTM4A","LAPTM4A",6.73889009009009
"RNA5SP88","RNA5SP88",4.17441342342342
"ASXL2","ASXL2",3.60514621621622
"HADHA","HADHA",4.9226736036036
"SULT6B1","SULT6B1",4.73189882882883
"CDC42EP3","CDC42EP3",3.69430486486486
"CDKL4","CDKL4",4.36255297297297
"MAP4K3","MAP4K3",4.03957153153153
"COX7A2L","COX7A2L",4.04416774774775
"ZFP36L2","ZFP36L2",4.74186963963964
"LRPPRC","LRPPRC",5.15324882882883
"RNU6-566P","RNU6-566P",4.68939153153153
"CALM2","CALM2",5.18858162162162
"RNU4-49P","RNU4-49P",4.47042756756757
"RNU6-775P","RNU6-775P",4.0317009009009
"PPP4R3B","PPP4R3B",3.88051342342342
"USP34","USP34",5.08645063063063
"RAB1A","RAB1A",4.88780666666667
"GFPT1","GFPT1",4.76233531531532
"RNU6-105P","RNU6-105P",4.09714585585586
"REG1B","REG1B",4.94571108108108
"RNU6-561P","RNU6-561P",5.13452063063063
"RETSAT","RETSAT",3.57871810810811
"CHMP3","CHMP3",4.8033027027027
"RNU6-640P","RNU6-640P",4.9467045045045
"RNU2-63P","RNU2-63P",4.94056459459459
"LAP3","LAP3",4.47183423423423
"SLAIN2","SLAIN2",4.11696576576577
"PDGFRA","PDGFRA",4.43152657657658
"SRD5A3","SRD5A3",3.54701981981982
"RNU6-276P","RNU6-276P",4.0779863963964
"EXOC1","EXOC1",3.77681207207207
"ARL9","ARL9",5.08174900900901
"RNU6-998P","RNU6-998P",5.42933261261261
"MT2P1","MT2P1",6.50494720720721
"TMPRSS11E","TMPRSS11E",6.87026252252252
"RUFY3","RUFY3",4.18144810810811
"NPFFR2","NPFFR2",5.59443324324324
"AFP","AFP",4.96882387387387
"USO1","USO1",4.72045990990991
"SEPTIN11","SEPTIN11",6.21245765765766
"RNU1-36P","RNU1-36P",5.49760594594595
"PKD2","PKD2",4.33067486486487
"RAP1GDS1","RAP1GDS1",3.75118054054054
"BTF3P13","BTF3P13",4.14849126126126
"METAP1","METAP1",4.0470436036036
"C4orf17","C4orf17",4.44432216216216
"RNU6-351P","RNU6-351P",4.66535684684685
"SGMS2","SGMS2",3.6247881981982
"RNU6-205P","RNU6-205P",4.00371486486486
"KIAA1109","KIAA1109",4.65376432432432
"ADAD1","ADAD1",4.95384900900901
"NAA15","NAA15",3.56318234234234
"RNU6-1214P","RNU6-1214P",3.84434774774775
"EDNRA","EDNRA",3.87533855855856
"RPS3A","RPS3A",5.67086
"PALLD","PALLD",3.70886963963964
"SPCS3","SPCS3",4.54150828828829
"WWC2","WWC2",3.75197441441441
"TNIP2","TNIP2",3.56314099099099
"FBXL5","FBXL5",4.89659972972973
"SEL1L3","SEL1L3",4.15323684684685
"CCKAR","CCKAR",5.24018972972973
"ZBTB12BP","ZBTB12BP",3.88869207207207
"RAC1P2","RAC1P2",4.83119810810811
"COX7B2","COX7B2",5.52680846846847
"SGCB","SGCB",4.3568936036036
"KDR","KDR",3.4417709009009
"GNRHR","GNRHR",4.25666432432432
"YTHDC1","YTHDC1",4.36708810810811
"UGT2B17","UGT2B17",4.76138297297297
"UGT2B4","UGT2B4",5.86017900900901
"JCHAIN","JCHAIN",5.44853675675676
"RNU6-784P","RNU6-784P",5.28056954954955
"GRSF1","GRSF1",4.13666297297297
"CCDC158","CCDC158",5.27722504504504
"CCNI","CCNI",6.11900468468468
"CNOT6L","CNOT6L",3.88284153153153
"ANTXR2","ANTXR2",4.42943990990991
"HSD17B11","HSD17B11",5.06829054054054
"SPARCL1","SPARCL1",6.16777837837838
"PYURF","PYURF",4.05783441441441
"RN7SKP244","RN7SKP244",5.01286765765766
"RNU6-733P","RNU6-733P",4.21288945945946
"ANXA5","ANXA5",5.30153621621622
